#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=6000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:84 out:85 type:b dur:2 cpbdur:2 q:18.27 aq:11.06 tex:9399 mv:2199 misc:890 imb:32 pmb:223 smb:7905 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:17.76 aq:2.31 tex:58969 mv:2699 misc:660 imb:489 pmb:59 smb:7612 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:18.19 aq:7.32 tex:35299 mv:5375 misc:750 imb:136 pmb:293 smb:7731 d:s ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:18.19 aq:12.47 tex:20467 mv:5942 misc:823 imb:108 pmb:296 smb:7756 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:18.19 aq:11.86 tex:10043 mv:5143 misc:718 imb:44 pmb:290 smb:7826 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:17.82 aq:0.69 tex:85521 mv:2852 misc:683 imb:354 pmb:66 smb:7740 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:18.00 aq:4.42 tex:36135 mv:4386 misc:743 imb:57 pmb:230 smb:7873 d:s ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:18.00 aq:8.26 tex:14937 mv:4476 misc:707 imb:58 pmb:229 smb:7873 d:s ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:18.00 aq:5.69 tex:22521 mv:4577 misc:630 imb:29 pmb:244 smb:7887 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:17.95 aq:2.35 tex:65571 mv:3380 misc:585 imb:75 pmb:207 smb:7878 d:s ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:18.17 aq:9.82 tex:73388 mv:3704 misc:596 imb:65 pmb:245 smb:7850 d:s ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:18.40 aq:4.44 tex:79192 mv:4161 misc:599 imb:52 pmb:299 smb:7809 d:s ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:18.65 aq:3.91 tex:77317 mv:4576 misc:611 imb:59 pmb:351 smb:7750 d:s ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:18.84 aq:10.42 tex:77770 mv:4851 misc:611 imb:33 pmb:408 smb:7719 d:s ref:0 ;
in:100 out:99 type:P dur:2 cpbdur:2 q:19.01 aq:11.82 tex:118654 mv:6684 misc:646 imb:50 pmb:482 smb:7628 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:19.02 aq:11.33 tex:25436 mv:8597 misc:703 imb:14 pmb:474 smb:7672 d:t ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:19.29 aq:7.06 tex:80406 mv:5942 misc:628 imb:24 pmb:556 smb:7580 d:s ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:19.65 aq:12.88 tex:112694 mv:7948 misc:654 imb:65 pmb:606 smb:7489 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:19.65 aq:13.26 tex:27861 mv:9675 misc:872 imb:12 pmb:584 smb:7564 d:s ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:19.53 aq:8.62 tex:86248 mv:7049 misc:647 imb:41 pmb:674 smb:7445 d:s ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:19.76 aq:8.82 tex:169097 mv:10297 misc:646 imb:452 pmb:422 smb:7286 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:19.77 aq:14.96 tex:89851 mv:15820 misc:753 imb:31 pmb:805 smb:7324 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:19.77 aq:16.24 tex:39130 mv:11212 misc:978 imb:9 pmb:699 smb:7452 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:19.77 aq:11.89 tex:46532 mv:12548 misc:968 imb:21 pmb:754 smb:7385 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:19.81 aq:8.74 tex:172840 mv:8921 misc:663 imb:792 pmb:210 smb:7158 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:20.42 aq:10.50 tex:110907 mv:17333 misc:776 imb:199 pmb:782 smb:7179 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:20.42 aq:12.95 tex:48746 mv:14217 misc:1069 imb:34 pmb:797 smb:7329 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:20.42 aq:17.33 tex:63075 mv:15444 misc:1001 imb:66 pmb:849 smb:7245 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:20.15 aq:7.51 tex:170407 mv:9289 misc:736 imb:776 pmb:237 smb:7147 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:20.53 aq:10.85 tex:116653 mv:17720 misc:747 imb:297 pmb:695 smb:7168 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:20.53 aq:15.49 tex:62091 mv:14723 misc:1042 imb:73 pmb:837 smb:7250 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:20.53 aq:14.46 tex:64961 mv:14063 misc:1032 imb:58 pmb:822 smb:7280 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:20.45 aq:6.44 tex:169975 mv:11397 misc:748 imb:609 pmb:465 smb:7086 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:20.48 aq:12.02 tex:79775 mv:16760 misc:1041 imb:104 pmb:879 smb:7177 d:s ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:20.48 aq:16.48 tex:44980 mv:14162 misc:1218 imb:49 pmb:830 smb:7281 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:20.48 aq:11.85 tex:40388 mv:13066 misc:1378 imb:51 pmb:783 smb:7326 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:20.72 aq:10.12 tex:166409 mv:12793 misc:814 imb:382 pmb:676 smb:7102 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:20.74 aq:11.93 tex:63740 mv:14716 misc:1304 imb:53 pmb:864 smb:7243 d:s ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:20.74 aq:12.88 tex:35044 mv:11634 misc:1474 imb:37 pmb:733 smb:7390 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:20.74 aq:18.30 tex:31313 mv:10820 misc:1459 imb:25 pmb:713 smb:7422 d:- ref:0 ;
in:127 out:125 type:P dur:2 cpbdur:2 q:21.00 aq:12.70 tex:143204 mv:11895 misc:877 imb:196 pmb:839 smb:7125 d:s ref:0 ;
in:125 out:126 type:B dur:2 cpbdur:2 q:21.04 aq:12.50 tex:40026 mv:11295 misc:1471 imb:24 pmb:719 smb:7417 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:21.04 aq:14.22 tex:27559 mv:9575 misc:1538 imb:15 pmb:673 smb:7472 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:20.83 aq:8.06 tex:88890 mv:8023 misc:1095 imb:79 pmb:875 smb:7206 d:s ref:0 ;
in:131 out:129 type:P dur:2 cpbdur:2 q:21.23 aq:8.34 tex:155302 mv:11404 misc:830 imb:151 pmb:874 smb:7135 d:s ref:0 ;
in:129 out:130 type:B dur:2 cpbdur:2 q:21.27 aq:17.77 tex:36229 mv:10675 misc:1480 imb:12 pmb:711 smb:7437 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:21.27 aq:19.01 tex:23980 mv:9294 misc:1614 imb:10 pmb:670 smb:7480 d:- ref:0 ;
